date, time, grid_index, block_type , spot1_r, spot1_g, spot1_b, spot2_r, spot2_g, spot2_b, bkg_r, bkg_g, bkg_b, spot1_corr_r, spot1_corr_g, spot1_corr_b, spot2_corr_r, spot2_corr_g, spot2_corr_b
08/06/2024,16:25:45,"(2, 4)",Control Block,216.0,214.0,217.0,218.0,213.0,219.0,217.0,213.0,217.0,1.0,-1.0,0.0,-1.0,0.0,-2.0
08/06/2024,16:25:45,"(3, 4)",Test Block 1,130.0,127.0,172.0,85.0,76.0,108.0,216.0,210.0,216.0,86.0,83.0,44.0,131.0,134.0,108.0
08/06/2024,16:25:46,"(4, 2)",Control Block,223.0,219.0,219.0,225.0,221.0,219.0,221.0,216.0,213.0,-2.0,-3.0,-6.0,-4.0,-5.0,-6.0
08/06/2024,16:25:47,"(4, 3)",Test Block 1,223.0,217.0,222.0,224.0,218.0,220.0,220.0,219.0,222.0,-3.0,2.0,0.0,-4.0,1.0,2.0
08/06/2024,16:25:47,"(4, 5)",Test Block 1,124.0,120.0,159.0,93.0,90.0,121.0,211.0,207.0,208.0,87.0,87.0,49.0,118.0,117.0,87.0
08/06/2024,16:25:48,"(4, 6)",Control Block,213.0,212.0,211.0,220.0,216.0,217.0,214.0,211.0,211.0,1.0,-1.0,0.0,-6.0,-5.0,-6.0
08/06/2024,16:25:49,"(5, 4)",Test Block 1,133.0,132.0,168.0,89.0,80.0,109.0,215.0,213.0,217.0,82.0,81.0,49.0,126.0,133.0,108.0
08/06/2024,16:25:49,"(6, 4)",Control Block,215.0,214.0,213.0,89.0,80.0,108.0,217.0,215.0,215.0,2.0,1.0,2.0,128.0,135.0,107.0
