date, time, grid_index, block_type , spot1_r, spot1_g, spot1_b, spot2_r, spot2_g, spot2_b, bkg_r, bkg_g, bkg_b, spot1_corr_r, spot1_corr_g, spot1_corr_b, spot2_corr_r, spot2_corr_g, spot2_corr_b
09/11/2024,13:19:47,"(2, 5)",test_block1,0.0,0.0,0.0,64.0,95.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-95.0,-137.0
09/11/2024,13:19:49,"(3, 5)",test_block2,71.0,90.0,124.0,82.0,65.0,72.0,0.0,0.0,0.0,-71.0,-90.0,-124.0,-82.0,-65.0,-72.0
09/11/2024,13:19:50,"(4, 5)",test_block3,144.0,64.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.0,-64.0,-72.0,0.0,0.0,0.0
09/11/2024,13:19:51,"(5, 5)",control_block,0.0,0.0,0.0,99.0,76.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-76.0,-90.0
