date       ,time     ,grid_index ,block_type    ,spot1_r ,spot1_g ,spot1_b ,spot2_r ,spot2_g ,spot2_b ,bkg_r ,bkg_g ,bkg_b ,spot1_corr_r ,spot1_corr_g ,spot1_corr_b ,spot2_corr_r ,spot2_corr_g ,spot2_corr_b
06/06/2024 ,16:28:13 ,"(3, 4)"   ,Control Block ,  217.0 ,  213.0 ,  213.0 ,  217.0 ,  214.0 ,  216.0 ,214.0 ,212.0 ,211.0 ,-2.0         ,-1.0         ,-3.0         ,-5.0         ,-2.0         ,-3.0
06/06/2024 ,16:28:55 ,"(5, 2)"   ,Control Block ,  221.0 ,  215.0 ,  220.0 ,  224.0 ,  220.0 ,  224.0 ,217.0 ,213.0 ,216.0 ,-4.0         ,-2.0         ,-4.0         ,-8.0         ,-7.0         ,-7.0
06/06/2024 ,16:30:17 ,"(5, 6)"   ,Control Block ,  216.0 ,  214.0 ,  217.0 ,  112.0 ,  106.0 ,  136.0 ,220.0 ,218.0 ,221.0 ,4.0          ,4.0          ,4.0          ,85.0         ,112.0        ,108.0
06/06/2024 ,16:31:21 ,"(7, 4)"   ,Control Block ,  218.0 ,  216.0 ,  217.0 ,  218.0 ,  214.0 ,  216.0 ,220.0 ,218.0 ,218.0 ,1.0          ,2.0          ,2.0          ,2.0          ,4.0          ,2.0
06/06/2024 ,16:28:33 ,"(4, 4)"   ,Test Block    ,  126.0 ,  119.0 ,  163.0 ,   90.0 ,   88.0 ,  121.0 ,209.0 ,205.0 ,207.0 ,44.0         ,86.0         ,83.0         ,86.0         ,117.0        ,119.0
06/06/2024 ,16:29:17 ,"(5, 3)"   ,Test Block    ,  136.0 ,  131.0 ,  180.0 ,   95.0 ,   85.0 ,  119.0 ,217.0 ,215.0 ,218.0 ,38.0         ,84.0         ,81.0         ,99.0         ,130.0        ,122.0
06/06/2024 ,16:29:43 ,"(5, 5)"   ,Test Block    ,  140.0 ,  138.0 ,  179.0 ,   93.0 ,   86.0 ,  121.0 ,216.0 ,214.0 ,219.0 ,40.0         ,76.0         ,76.0         ,98.0         ,128.0        ,123.0
