date, time, grid_index, block_type , spot1_r, spot1_g, spot1_b, spot2_r, spot2_g, spot2_b, bkg_r, bkg_g, bkg_b, spot1_corr_r, spot1_corr_g, spot1_corr_b, spot2_corr_r, spot2_corr_g, spot2_corr_b
06/04/2024,12:13:32,"(3, 5)",Control Block,218.0,216.0,217.0,86.0,78.0,113.0,218.0,216.0,218.0,1.0,0.0,0.0,105.0,138.0,132.0
06/04/2024,12:13:44,"(4, 5)",Test Block,132.0,125.0,174.0,79.0,70.0,107.0,219.0,217.0,220.0,46.0,92.0,87.0,113.0,147.0,140.0
06/04/2024,12:14:06,"(5, 3)",Control Block,221.0,217.0,216.0,226.0,222.0,223.0,222.0,218.0,217.0,1.0,1.0,1.0,-6.0,-4.0,-4.0
06/04/2024,12:14:18,"(5, 4)",Test Block,111.0,106.0,154.0,90.0,85.0,122.0,208.0,204.0,206.0,52.0,98.0,97.0,84.0,119.0,118.0
06/04/2024,12:14:39,"(5, 6)",Test Block,220.0,218.0,219.0,221.0,219.0,220.0,220.0,218.0,219.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
06/04/2024,12:14:52,"(5, 7)",Control Block,220.0,219.0,220.0,222.0,220.0,221.0,225.0,223.0,225.0,5.0,4.0,5.0,4.0,3.0,3.0
06/04/2024,12:15:13,"(6, 5)",Test Block,123.0,118.0,173.0,77.0,69.0,106.0,215.0,213.0,215.0,42.0,95.0,92.0,109.0,144.0,138.0
06/04/2024,12:15:25,"(7, 5)",Control Block,213.0,211.0,214.0,216.0,213.0,218.0,212.0,209.0,211.0,-3.0,-2.0,-1.0,-7.0,-4.0,-4.0
